Deck Name,Total Price,Card Name,Card Quantity,Card Price
Amulet Titan,917.78,"Valakut, the Molten Pinnacle",3,70.47
Amulet Titan,917.78,Verdant Catacombs,1,25.38
Amulet Titan,917.78,Vesuva,1,10.75
Amulet Titan,917.78,Bojuka Bog,1,1.25
Amulet Titan,917.78,Engineered Explosives,2,37.98
Amulet Titan,917.78,Ghost Quarter,1,1.4
Amulet Titan,917.78,Tormod's Crypt,1,0.5
Amulet Titan,917.78,Treasure Vault,1,6.41
Amulet Titan,917.78,Pithing Needle,1,1.0
Amulet Titan,917.78,Liquimetal Coating,1,1.17
Amulet Titan,917.78,Outland Liberator,1,0.42
Amulet Titan,917.78,Endurance,1,36.47
Amulet Titan,917.78,Tireless Tracker,1,6.15
Amulet Titan,917.78,Force of Vigor,2,51.92
Amulet Titan,917.78,"Skysovereign, Consul Flagship",1,2.0
Amulet Titan,917.78,Wurmcoil Engine,1,22.96
Azorius Mill,700.52,Lurrus of the Dream-Den,1,6.92
Azorius Mill,700.52,Hedron Crab,4,27.12
Azorius Mill,700.52,Ruin Crab,4,3.96
Azorius Mill,700.52,Consider,2,4.0
Azorius Mill,700.52,Prismatic Ending,4,14.84
Azorius Mill,700.52,Repeal,1,0.25
Azorius Mill,700.52,Visions of Beyond,4,35.04
Azorius Mill,700.52,Maddening Cacophony,3,7.62
Azorius Mill,700.52,Remand,3,9.9
Azorius Mill,700.52,Fractured Sanity,4,4.56
Azorius Mill,700.52,Tasha's Hideous Laughter,4,19.96
Azorius Mill,700.52,Archive Trap,4,91.96
Azorius Mill,700.52,Field of Ruin,4,1.48
Azorius Mill,700.52,Flooded Strand,4,161.28
Azorius Mill,700.52,Hallowed Fountain,2,17.9
Azorius Mill,700.52,Island,5,0.0
Azorius Mill,700.52,"Oboro, Palace in the Clouds",1,81.07
Azorius Mill,700.52,Plains,1,0.0
Azorius Mill,700.52,Polluted Delta,2,97.9
Azorius Mill,700.52,Scalding Tarn,2,66.22
Azorius Mill,700.52,Shelldock Isle,1,6.94
Azorius Mill,700.52,Watery Grave,1,12.99
Azorius Mill,700.52,Tormod's Crypt,1,0.5
Azorius Mill,700.52,Blossoming Calm,1,0.25
Azorius Mill,700.52,Nihil Spellbomb,1,0.52
Azorius Mill,700.52,Path to Exile,2,8.94
Azorius Mill,700.52,Portable Hole,4,7.48
Azorius Mill,700.52,Profane Memento,1,1.24
Azorius Mill,700.52,Soul-Guide Lantern,4,9.68
4c Omnath,2168.05,"Yorion, Sky Nomad",1,2.75
4c Omnath,2168.05,"Omnath, Locus of Creation",4,45.72
4c Omnath,2168.05,Solitude,4,220.0
4c Omnath,2168.05,Wrenn and Six,4,411.96
4c Omnath,2168.05,"Teferi, Time Raveler",4,75.6
4c Omnath,2168.05,"Jace, the Mind Sculptor",1,59.6
4c Omnath,2168.05,"Teferi, Hero of Dominaria",2,52.32
4c Omnath,2168.05,Prismatic Ending,4,14.84
4c Omnath,2168.05,Counterspell,4,6.04
4c Omnath,2168.05,Expressive Iteration,4,25.84
4c Omnath,2168.05,Force of Negation,2,149.28
4c Omnath,2168.05,Memory Deluge,2,11.88
4c Omnath,2168.05,Supreme Verdict,3,23.43
4c Omnath,2168.05,Fire // Ice,3,0.9
4c Omnath,2168.05,Chalice of the Void,2,136.0
4c Omnath,2168.05,Abundant Growth,4,2.84
4c Omnath,2168.05,Spreading Seas,4,20.92
4c Omnath,2168.05,Breeding Pool,1,21.93
4c Omnath,2168.05,Flooded Strand,4,161.28
4c Omnath,2168.05,Hallowed Fountain,1,8.95
4c Omnath,2168.05,Ketria Triome,1,11.99
4c Omnath,2168.05,Lonely Sandbar,1,0.25
4c Omnath,2168.05,Misty Rainforest,4,120.0
4c Omnath,2168.05,Raugrin Triome,1,12.58
4c Omnath,2168.05,Sacred Foundry,1,19.94
4c Omnath,2168.05,Scalding Tarn,4,132.44
4c Omnath,2168.05,Snow-Covered Forest,1,1.0
4c Omnath,2168.05,Snow-Covered Island,2,2.5
4c Omnath,2168.05,Snow-Covered Plains,1,0.38
4c Omnath,2168.05,Steam Vents,1,15.27
4c Omnath,2168.05,Stomping Ground,1,10.38
4c Omnath,2168.05,Temple Garden,1,10.8
4c Omnath,2168.05,Windswept Heath,4,118.92
4c Omnath,2168.05,Relic of Progenitus,2,11.74
4c Omnath,2168.05,Veil of Summer,4,35.08
4c Omnath,2168.05,Dovin's Veto,2,6.18
4c Omnath,2168.05,Dress Down,2,5.32
4c Omnath,2168.05,Force of Negation,2,149.28
4c Omnath,2168.05,Force of Vigor,2,51.92
Jeskai Control,1223.23,"Kaheera, the Orphanguard",1,1.33
Jeskai Control,1223.23,Solitude,4,220.0
Jeskai Control,1223.23,"Teferi, Time Raveler",3,56.7
Jeskai Control,1223.23,"Jace, the Mind Sculptor",1,59.6
Jeskai Control,1223.23,"Teferi, Hero of Dominaria",2,52.32
Jeskai Control,1223.23,Prismatic Ending,4,14.84
Jeskai Control,1223.23,Counterspell,4,6.04
Jeskai Control,1223.23,Archmage's Charm,4,64.56
Jeskai Control,1223.23,Memory Deluge,2,11.88
Jeskai Control,1223.23,Supreme Verdict,3,23.43
Jeskai Control,1223.23,Fire // Ice,3,0.9
Jeskai Control,1223.23,Chalice of the Void,1,68.0
Jeskai Control,1223.23,Dress Down,2,5.32
Jeskai Control,1223.23,Shark Typhoon,2,21.24
Jeskai Control,1223.23,Castle Vantress,2,4.24
Jeskai Control,1223.23,Celestial Colonnade,1,4.4
Jeskai Control,1223.23,Flooded Strand,4,161.28
Jeskai Control,1223.23,Hall of Storm Giants,1,4.19
Jeskai Control,1223.23,Hallowed Fountain,2,17.9
Jeskai Control,1223.23,Island,4,0.0
Jeskai Control,1223.23,Misty Rainforest,1,30.0
Jeskai Control,1223.23,Mystic Gate,3,91.86
Jeskai Control,1223.23,Plains,2,0.0
Jeskai Control,1223.23,Polluted Delta,1,48.95
Jeskai Control,1223.23,Raugrin Triome,2,25.16
Jeskai Control,1223.23,Scalding Tarn,1,33.11
Jeskai Control,1223.23,Steam Vents,1,15.27
Jeskai Control,1223.23,Chalice of the Void,1,68.0
Jeskai Control,1223.23,Alpine Moon,1,8.0
Jeskai Control,1223.23,Flusterstorm,1,27.05
Jeskai Control,1223.23,Celestial Purge,2,0.52
Jeskai Control,1223.23,Dovin's Veto,2,6.18
Jeskai Control,1223.23,Rest in Peace,2,12.9
Jeskai Control,1223.23,Mystical Dispute,1,1.05
Jeskai Control,1223.23,Crumble to Dust,1,0.25
Jeskai Control,1223.23,Wear // Tear,1,2.4
Jeskai Control,1223.23,Shark Typhoon,1,10.62
Jeskai Control,1223.23,"Emrakul, the Promised End",1,43.74
Mono-Green Tron,752.96,Walking Ballista,1,16.58
Mono-Green Tron,752.96,Wurmcoil Engine,2,45.92
Mono-Green Tron,752.96,Sundering Titan,1,0.79
Mono-Green Tron,752.96,"Ulamog, the Ceaseless Hunger",2,110.3
Mono-Green Tron,752.96,"Emrakul, the Promised End",1,43.74
Mono-Green Tron,752.96,"Karn, the Great Creator",4,44.0
Mono-Green Tron,752.96,Karn Liberated,4,117.24
Mono-Green Tron,752.96,"Ugin, the Spirit Dragon",2,47.9
Mono-Green Tron,752.96,Ancient Stirrings,4,1.64
Mono-Green Tron,752.96,Sylvan Scrying,4,2.0
Mono-Green Tron,752.96,All Is Dust,1,8.67
Mono-Green Tron,752.96,Chromatic Sphere,4,3.28
Mono-Green Tron,752.96,Chromatic Star,4,1.96
Mono-Green Tron,752.96,Expedition Map,4,7.88
Mono-Green Tron,752.96,Relic of Progenitus,2,11.74
Mono-Green Tron,752.96,Oblivion Stone,2,5.64
Mono-Green Tron,752.96,Blast Zone,1,3.27
Mono-Green Tron,752.96,Forest,3,0.0
Mono-Green Tron,752.96,Sanctum of Ugin,1,1.19
Mono-Green Tron,752.96,Urza's Mine,4,3.16
Mono-Green Tron,752.96,Urza's Power Plant,4,3.4
Mono-Green Tron,752.96,Urza's Tower,4,3.12
Mono-Green Tron,752.96,"Yavimaya, Cradle of Growth",1,11.99
Mono-Green Tron,752.96,Chalice of the Void,1,68.0
Mono-Green Tron,752.96,Walking Ballista,1,16.58
Mono-Green Tron,752.96,Grafdigger's Cage,1,2.09
Mono-Green Tron,752.96,Nature's Claim,3,3.57
Mono-Green Tron,752.96,Pithing Needle,1,1.0
Mono-Green Tron,752.96,Liquimetal Coating,1,1.17
Mono-Green Tron,752.96,Torpor Orb,1,19.85
Mono-Green Tron,752.96,Ensnaring Bridge,1,21.06
Mono-Green Tron,752.96,Force of Vigor,2,51.92
Mono-Green Tron,752.96,Thragtusk,1,0.5
Mono-Green Tron,752.96,Sundering Titan,1,0.79
Mono-Green Tron,752.96,"Kozilek, Butcher of Truth",1,71.02
Gruul Midrange,1219.69,Arbor Elf,4,2.72
Gruul Midrange,1219.69,Bonecrusher Giant,4,3.24
Gruul Midrange,1219.69,Endurance,3,109.41
Gruul Midrange,1219.69,Seasoned Pyromancer,4,140.36
Gruul Midrange,1219.69,Moonveil Regent,2,6.4
Gruul Midrange,1219.69,"Thrun, the Last Troll",2,6.22
Gruul Midrange,1219.69,Fury,4,88.0
Gruul Midrange,1219.69,Wrenn and Six,2,205.98
Gruul Midrange,1219.69,"Chandra, Torch of Defiance",1,7.98
Gruul Midrange,1219.69,Lightning Bolt,4,8.04
